Episode,Step,Return,Length
0,83,44.63,84
1,167,40.71,84
2,251,41.26,84
3,334,38.47,83
4,416,42.66,82
5,500,39.57,84
6,579,37.71,79
7,659,43.92,80
8,741,40.80,82
9,823,41.08,82
10,907,43.38,84
11,990,41.36,83
12,1073,40.12,83
13,1157,42.34,84
14,1235,41.65,78
15,1313,40.64,78
16,1393,45.08,80
17,1472,42.54,79
18,1557,39.64,85
19,1640,40.14,83
20,1723,40.33,83
21,1805,40.73,82
22,1888,42.10,83
23,1971,40.44,83
24,2001,-5.31,30
25,2083,39.84,82
26,2166,42.46,83
27,2245,43.45,79
28,2328,42.67,83
29,2407,44.97,79
30,2487,40.50,80
31,2568,45.71,81
32,2650,42.45,82
33,2733,42.28,83
34,2816,41.96,83
35,2899,41.63,83
36,2982,42.09,83
37,3061,46.03,79
38,3139,42.00,78
39,3221,41.74,82
40,3300,43.44,79
41,3379,42.21,79
42,3463,41.48,84
43,3545,40.48,82
44,3623,42.36,78
45,3708,44.80,85
46,3788,44.14,80
47,3868,45.29,80
48,3947,44.41,79
49,4001,10.22,54
50,4083,42.18,82
51,4163,45.43,80
52,4242,43.46,79
53,4322,45.30,80
54,4403,44.06,81
55,4482,43.28,79
56,4562,42.61,80
57,4641,42.84,79
58,4719,43.15,78
59,4798,42.00,79
60,4877,44.36,79
61,4956,43.14,79
